,Date,Open,High,Close,week_day,week_close,week_high,close_week_profit,high_week_profit,Start_of_Week_Dollars_if_close,End_of_Week_Dollars_if_close,Start_of_Week_Dollars_if_high,End_of_Week_Dollars_if_high
0,2019-01-05,3851.973876953125,3904.903076171875,3845.194580078125,5,4035.29638671875,4068.403564453125,1.0475918361914311,1.0561866965907862,1000.0,1047.5918361914312,1000.0,1056.1866965907861
1,2019-01-09,4031.552001953125,4068.403564453125,4035.29638671875,2,3661.301025390625,3698.978271484375,0.9081616765992034,0.9175072700767269,1047.5918361914312,951.3827583472482,1056.1866965907861,969.0589726803685
2,2019-01-12,3686.97314453125,3698.978271484375,3661.301025390625,5,3655.0068359375,3685.777099609375,0.9913299318056698,0.9996756024861073,951.3827583472482,943.1342049534676,969.0589726803685,968.7446123588155
3,2019-01-16,3631.509765625,3685.777099609375,3655.0068359375,2,3728.568359375,3758.533447265625,1.0267267885849387,1.0349782018605598,943.1342049534676,968.3411534564832,968.7446123588155,1002.6295569612319
4,2019-01-19,3652.3779296875,3758.533447265625,3728.568359375,5,3585.123046875,3623.06787109375,0.9815860012005235,0.9919750750995646,968.3411534564832,950.5101206192519,1002.6295569612319,994.5835300636612
5,2019-01-23,3605.55712890625,3623.06787109375,3585.123046875,2,3602.46044921875,3654.93310546875,0.9991411369791721,1.013694409711788,950.5101206192519,949.6937626257293,994.5835300636612,1008.2037644169493
6,2019-01-26,3599.71533203125,3654.93310546875,3602.46044921875,5,3486.181640625,3495.1748046875,0.9684603695197794,0.9709586681998101,949.6937626257293,919.7407722831434,1008.2037644169493,978.9241843723162
7,2019-01-30,3443.89697265625,3495.1748046875,3486.181640625,2,3521.060791015625,3523.287353515625,1.0224059601585176,1.0230524842902433,919.7407722831434,940.3484473830838,978.9241843723162,1001.4908187538982
8,2019-02-02,3484.6259765625,3523.287353515625,3521.060791015625,5,3413.767822265625,3469.091796875,0.9796654921436433,0.9955420811897798,940.3484473830838,921.2269244920597,1001.4908187538982,997.0262539947124
9,2019-02-06,3469.091796875,3469.091796875,3413.767822265625,2,3671.20361328125,3679.94140625,1.0582607288133208,1.060779484003547,921.2269244920597,974.8982765154211,997.0262539947124,1057.6249952505004
10,2019-02-09,3671.5859375,3679.94140625,3671.20361328125,5,3632.070556640625,3669.74658203125,0.9892375171024101,0.9994990297108496,974.8982765154211,964.405950487534,1057.6249952505004,1057.0951565508171
11,2019-02-13,3653.60400390625,3669.74658203125,3632.070556640625,2,3629.78759765625,3652.84130859375,0.9934813936528051,0.9997912485010185,964.405950487534,958.1193677374134,1057.0951565508171,1056.8744863523211
12,2019-02-16,3615.270263671875,3652.84130859375,3629.78759765625,5,3999.820556640625,4000.486328125,1.1063683389960945,1.1065524943802894,958.1193677374134,1060.0329334436303,1056.8744863523211,1169.487099120048
13,2019-02-20,3946.68505859375,4000.486328125,3999.820556640625,2,4142.52685546875,4166.2861328125,1.0496218456673057,1.0556419047779293,1060.0329334436303,1112.6337240692314,1169.487099120048,1234.5595889283024
14,2019-02-23,3998.916259765625,4166.2861328125,4142.52685546875,5,3851.04736328125,3888.802490234375,0.9630227574475286,0.9724640971757423,1112.6337240692314,1071.491596982264,1234.5595889283024,1200.5648760568172
15,2019-02-27,3857.479736328125,3888.802490234375,3851.04736328125,2,3864.4150390625,3874.607421875,1.0017978844241386,1.0044401232715687,1071.491596982264,1073.4180150350737,1200.5648760568172,1205.895532102025
16,2019-03-02,3855.318115234375,3874.607421875,3864.4150390625,5,3903.942626953125,3919.510498046875,1.0126123215427048,1.0166503465845897,1073.4180150350737,1086.956308190428,1205.895532102025,1225.974110656332
17,2019-03-06,3897.0810546875,3919.510498046875,3903.942626953125,2,3963.313720703125,3987.23779296875,1.0169954550819411,1.0231344272844434,1086.956308190428,1105.429625302311,1225.974110656332,1254.336319571921
