City,Population,Latitude,Longitude
Tehran,9616007,35.6892,51.3890
Mashhad,3415532,36.2605,59.6168
Isfahan,2294589,32.6525,51.6746
Shiraz,1742750,29.5918,52.5837
Tabriz,1678028,38.0662,46.3012
Karaj,1603011,35.8400,50.9391
Qom,1373800,34.6401,50.8764
Ahvaz,1309372,31.3203,48.6692
Kermanshah,1101611,34.3142,47.0650
Urmia,848443,37.5486,45.0722
